No,ID,Full name, Total Mark, Final Mark, Midterm Mark, Other Mark
1,23127001,Khoa Dang,9,9,9,9
2,23127002,Hoa Nguyen,9,9,9,9
3,23127003,Tuan Tran,9,9,9,9
4,23127004,Anh Le,9,9,9,9
5,23127005,Binh Pham,9,9,9,9
6,23127006,Thao Nguyen,9,9,9,9
7,23127007,Trang Tran,9,9,9,9
8,23127008,Tung Le,9,9,9,9
9,23127009,Thanh Pham,9,9,9,9
10,23127010,Thuy Nguyen,9,9,9,9
11,23127011,Thao Tran,9,9,9,9
12,23127012,Thanh Le,9,9,9,9
13,23127013,Thuy Pham,9,9,9,9
14,23127014,Thanh Nguyen,9,9,9,9
15,23127015,Thao Tran,9,9,9,9
16,23127016,Thanh Le,9,9,9,9
17,23127017,Thuy Pham,9,9,9,9
18,23127018,Thanh Nguyen,9,9,9,9
19,23127019,Thao Tran,9,9,9,9
20,23127020,Thanh Le,9,9,9,9
21,23127021,Thuy Pham,9,9,9,9
22,23127022,Thanh Nguyen,9,9,9,9
23,23127023,Thao Tran,9,9,9,9
24,23127024,Thanh Le,9,9,9,9
25,23127025,Thuy Pham,9,9,9,9
26,23127026,Thanh Nguyen,9,9,9,9
27,23127027,Thao Tran,9,9,9,9
28,23127028,Thanh Le,9,9,9,9
29,23127029,Thuy Pham,9,9,9,9
30,23127030,Thanh Nguyen,9,9,9,9
31,23127031,Thao Tran,9,9,9,9
32,23127032,Thanh Le,9,9,9,9
33,23127033,Thuy Pham,9,9,9,9
34,23127034,Thanh Nguyen,9,9,9,9
35,23127035,Thao Tran,9,9,9,9
36,23127036,Thanh Le,9,9,9,9
37,23127037,Thuy Pham,9,9,9,9
38,23127038,Thanh Nguyen,9,9,9,9
39,23127039,Thao Tran,9,9,9,9
40,23127040,Thanh Le,9,9,9,9
41,23127100,Thu Nguyen,9,9,9,9
42,23127101,Thao Nguyen,9,9,9,9
43,23127102,Thanh Tran,9,9,9,9
44,23127103,Thien Le,9,9,9,9
45,23127104,Thuan Nguyen,9,9,9,9
46,23127105,Thuy Tran,9,9,9,9
47,23127106,Tien Le,9,9,9,9
48,23127107,Tuan Nguyen,9,9,9,9
49,23127108,Tuong Tran,9,9,9,9
50,23127109,Uyen Le,9,9,9,9
51,23127110,Van Nguyen,9,9,9,9
