No,ID,Full name, Total Mark, Final Mark, Midterm Mark, Other Mark
1,23127001,Khoa Dang,9,8,9,10
2,23127002,Hoa Nguyen,9,8,9,10
3,23127003,Tuan Tran,9,8,9,10
4,23127004,Anh Le,9,8,9,10
5,23127005,Binh Pham,9,8,9,10
6,23127006,Thao Nguyen,9,8,9,10
7,23127007,Trang Tran,9,8,9,10
8,23127008,Tung Le,9,8,9,10
9,23127009,Thanh Pham,9,8,9,10
10,23127010,Thuy Nguyen,9,8,9,10
11,23127011,Thao Tran,9,8,9,10
12,23127012,Thanh Le,9,8,9,10
13,23127013,Thuy Pham,9,8,9,10
14,23127014,Thanh Nguyen,9,8,9,10
15,23127015,Thao Tran,9,8,9,10
16,23127016,Thanh Le,9,8,9,10
17,23127017,Thuy Pham,9,8,9,10
18,23127018,Thanh Nguyen,9,8,9,10
19,23127019,Thao Tran,9,8,9,10
20,23127020,Thanh Le,9,8,9,10
21,23127100,Thu Nguyen,9,8,9,10
22,23127101,Thao Nguyen,9,8,9,10
23,23127102,Thanh Tran,9,8,9,10
24,23127103,Thien Le,9,8,9,10
25,23127104,Thuan Nguyen,9,8,9,10
26,23127105,Thuy Tran,9,8,9,10
27,23127106,Tien Le,9,8,9,10
28,23127107,Tuan Nguyen,9,8,9,10
29,23127108,Tuong Tran,9,8,9,10
30,23127109,Uyen Le,9,8,9,10
31,23127110,Van Nguyen,9,8,9,10
32,23127111,Vinh Tran,9,8,9,10
33,23127112,Xuan Le,9,8,9,10
34,23127201,Anh Nguyen,9,8,9,10
35,23127202,Bao Tran,9,8,9,10
36,23127203,Chi Pham,9,8,9,10
37,23127204,Dung Le,9,8,9,10
38,23127205,Em Vo,9,8,9,10
39,23127206,Ha Nguyen,9,8,9,10
40,23127207,Hieu Tran,9,8,9,10
41,23127208,Anh Phan,9,8,9,10
42,23127209,Long Do,9,8,9,10
43,23127210,Minh Nguyen,9,8,9,10
44,23127211,Ngoc Tran,9,8,9,10
45,23127212,Quynh Le,9,8,9,10
46,23127213,Son Pham,9,8,9,10
47,23127214,Thanh Nguyen,9,8,9,10
48,23127215,Tuan Vo,9,8,9,10
49,23127216,Van Anh Tran,9,8,9,10
50,23127217,Xuan Nguyen,9,8,9,10
51,23127218,Yen Le,9,8,9,10
52,23127219,Duc Tran,9,8,9,10
53,23127220,Hong Pham,9,8,9,10
54,23127221,Quang Nguyen,9,8,9,10
55,23127222,Huong Vo,9,8,9,10
56,23127223,Nam Le,9,8,9,10
57,23127224,Son Nguyen,9,8,9,10
58,23127225,Thanh Tran,9,8,9,10
59,23127301,Quy Tran,9,8,9,10
60,23127302,Hoa Nguyen,9,8,9,10
61,23127303,Minh Le,9,8,9,10
62,23127304,Anh Pham,9,8,9,10
63,23127305,Tuan Tran,9,8,9,10
64,23127306,Huyen Vo,9,8,9,10
65,23127307,Nam Nguyen,9,8,9,10
66,23127308,Linh Do,9,8,9,10
67,23127309,Hai Truong,9,8,9,10
68,23127310,Mai Nguyen,9,8,9,10
69,23127311,Duc Phan,9,8,9,10
70,23127312,Thu Tran,9,8,9,10
71,23127313,Quang Nguyen,9,8,9,10
72,23127314,My Le,9,8,9,10
73,23127315,Khanh Vo,9,8,9,10
74,23127316,Hoa Nguyen,9,8,9,10
75,23127317,Dat Tran,9,8,9,10
76,23127318,Trang Do,9,8,9,10
77,23127319,Binh Nguyen,9,8,9,10
78,23127320,An Le,9,8,9,10
79,23127321,Dung Pham,9,8,9,10
80,23127322,Thanh Tran,9,8,9,10
81,23127323,Nhat Nguyen,9,8,9,10
82,23127324,Lan Vo,9,8,9,10
83,23127325,Long Do,9,8,9,10
