No,ID,Full name, Total Mark, Final Mark, Midterm Mark, Other Mark
1,23127001,Khoa Dang,10,10,10,10
2,23127002,Hoa Nguyen,10,10,10,10
3,23127003,Tuan Tran,10,10,10,10
4,23127004,Anh Le,10,10,10,10
5,23127005,Binh Pham,10,10,10,10
6,23127006,Thao Nguyen,10,10,10,10
7,23127007,Trang Tran,10,10,10,10
8,23127008,Tung Le,10,10,10,10
9,23127009,Thanh Pham,10,10,10,10
10,23127010,Thuy Nguyen,10,10,10,10
11,23127011,Thao Tran,10,10,10,10
12,23127012,Thanh Le,10,10,10,10
13,23127013,Thuy Pham,10,10,10,10
14,23127014,Thanh Nguyen,10,10,10,10
15,23127015,Thao Tran,10,10,10,10
16,23127016,Thanh Le,10,10,10,10
17,23127017,Thuy Pham,10,10,10,10
18,23127018,Thanh Nguyen,10,10,10,10
19,23127019,Thao Tran,10,10,10,10
20,23127020,Thanh Le,10,10,10,10
21,23127021,Thuy Pham,10,10,10,10
22,23127022,Thanh Nguyen,10,10,10,10
23,23127023,Thao Tran,10,10,10,10
24,23127024,Thanh Le,10,10,10,10
25,23127025,Thuy Pham,10,10,10,10
26,23127026,Thanh Nguyen,10,10,10,10
27,23127027,Thao Tran,10,10,10,10
28,23127028,Thanh Le,10,10,10,10
29,23127029,Thuy Pham,10,10,10,10
30,23127030,Thanh Nguyen,10,10,10,10
31,23127031,Thao Tran,10,10,10,10
32,23127032,Thanh Le,10,10,10,10
33,23127033,Thuy Pham,10,10,10,10
34,23127034,Thanh Nguyen,10,10,10,10
35,23127035,Thao Tran,10,10,10,10
36,23127036,Thanh Le,10,10,10,10
37,23127037,Thuy Pham,10,10,10,10
38,23127038,Thanh Nguyen,10,10,10,10
39,23127039,Thao Tran,10,10,10,10
40,23127040,Thanh Le,10,10,10,10
41,23127100,Thu Nguyen,10,10,10,10
42,23127101,Thao Nguyen,10,10,10,10
43,23127102,Thanh Tran,10,10,10,10
44,23127103,Thien Le,10,10,10,10
45,23127104,Thuan Nguyen,10,10,10,10
46,23127105,Thuy Tran,10,10,10,10
47,23127106,Tien Le,10,10,10,10
48,23127107,Tuan Nguyen,10,10,10,10
49,23127108,Tuong Tran,10,10,10,10
50,23127109,Uyen Le,10,10,10,10
51,23127110,Van Nguyen,10,10,10,10
52,23127111,Vinh Tran,10,10,10,10
53,23127112,Xuan Le,10,10,10,10
54,23127113,Yen Nguyen,10,10,10,10
55,23127114,Yen Tran,10,10,10,10
56,23127115,Yen Le,10,10,10,10
57,23127116,Yen Nguyen,10,10,10,10
58,23127117,Yen Tran,10,10,10,10
59,23127118,Yen Le,10,10,10,10
60,23127119,Yen Nguyen,10,10,10,10
61,23127120,Yen Tran,10,10,10,10
62,23127121,Yen Le,10,10,10,10
63,23127122,Yen Nguyen,10,10,10,10
64,23127123,Yen Tran,10,10,10,10
65,23127124,Yen Le,10,10,10,10
66,23127125,Yen Nguyen,10,10,10,10
67,23127201,Anh Nguyen,10,10,10,10
68,23127202,Bao Tran,10,10,10,10
69,23127203,Chi Pham,10,10,10,10
70,23127204,Dung Le,10,10,10,10
71,23127205,Em Vo,10,10,10,10
72,23127206,Ha Nguyen,10,10,10,10
73,23127207,Hieu Tran,10,10,10,10
74,23127208,Anh Phan,10,10,10,10
75,23127209,Long Do,10,10,10,10
76,23127210,Minh Nguyen,10,10,10,10
77,23127211,Ngoc Tran,10,10,10,10
78,23127212,Quynh Le,10,10,10,10
79,23127213,Son Pham,10,10,10,10
80,23127214,Thanh Nguyen,10,10,10,10
81,23127215,Tuan Vo,10,10,10,10
82,23127216,Van Anh Tran,10,10,10,10
83,23127217,Xuan Nguyen,10,10,10,10
84,23127218,Yen Le,10,10,10,10
85,23127219,Duc Tran,10,10,10,10
86,23127220,Hong Pham,10,10,10,10
87,23127221,Quang Nguyen,10,10,10,10
88,23127222,Huong Vo,10,10,10,10
89,23127223,Nam Le,10,10,10,10
90,23127224,Son Nguyen,10,10,10,10
91,23127225,Thanh Tran,10,10,10,10
92,23127226,Trung Pham,10,10,10,10
93,23127227,Anh Nguyen,10,10,10,10
94,23127228,Binh Tran,10,10,10,10
95,23127229,Chau Le,10,10,10,10
96,23127230,Dat Nguyen,10,10,10,10
