No,ID,Full name, Total Mark, Final Mark, Midterm Mark, Other Mark
1,23127001,Khoa Dang,10,7,6,9
2,23127002,Hoa Nguyen,10,7,6,9
3,23127003,Tuan Tran,10,7,6,9
4,23127004,Anh Le,10,7,6,9
5,23127005,Binh Pham,10,7,6,9
6,23127006,Thao Nguyen,10,7,6,9
7,23127007,Trang Tran,10,7,6,9
8,23127008,Tung Le,10,7,6,9
9,23127009,Thanh Pham,10,7,6,9
10,23127010,Thuy Nguyen,10,7,6,9
11,23127011,Thao Tran,10,7,6,9
12,23127012,Thanh Le,10,7,6,9
13,23127013,Thuy Pham,10,7,6,9
14,23127014,Thanh Nguyen,10,7,6,9
15,23127015,Thao Tran,10,7,6,9
16,23127016,Thanh Le,10,7,6,9
17,23127017,Thuy Pham,10,7,6,9
18,23127018,Thanh Nguyen,10,7,6,9
19,23127019,Thao Tran,10,7,6,9
20,23127020,Thanh Le,10,7,6,9
21,23127100,Thu Nguyen,10,7,6,9
22,23127101,Thao Nguyen,10,7,6,9
23,23127102,Thanh Tran,10,7,6,9
24,23127103,Thien Le,10,7,6,9
25,23127104,Thuan Nguyen,10,7,6,9
26,23127105,Thuy Tran,10,7,6,9
27,23127106,Tien Le,10,7,6,9
28,23127107,Tuan Nguyen,10,7,6,9
29,23127108,Tuong Tran,10,7,6,9
30,23127109,Uyen Le,10,7,6,9
31,23127110,Van Nguyen,10,7,6,9
32,23127111,Vinh Tran,10,7,6,9
33,23127112,Xuan Le,10,7,6,9
34,23127201,Anh Nguyen,10,7,6,9
35,23127202,Bao Tran,10,7,6,9
36,23127203,Chi Pham,10,7,6,9
37,23127204,Dung Le,10,7,6,9
38,23127205,Em Vo,10,7,6,9
39,23127206,Ha Nguyen,10,7,6,9
40,23127207,Hieu Tran,10,7,6,9
41,23127208,Anh Phan,10,7,6,9
42,23127209,Long Do,10,7,6,9
43,23127210,Minh Nguyen,10,7,6,9
44,23127211,Ngoc Tran,10,7,6,9
45,23127212,Quynh Le,10,7,6,9
46,23127213,Son Pham,10,7,6,9
47,23127214,Thanh Nguyen,10,7,6,9
48,23127215,Tuan Vo,10,7,6,9
49,23127216,Van Anh Tran,10,7,6,9
50,23127217,Xuan Nguyen,10,7,6,9
51,23127218,Yen Le,10,7,6,9
52,23127219,Duc Tran,10,7,6,9
53,23127220,Hong Pham,10,7,6,9
54,23127221,Quang Nguyen,10,7,6,9
55,23127222,Huong Vo,10,7,6,9
56,23127223,Nam Le,10,7,6,9
57,23127224,Son Nguyen,10,7,6,9
58,23127225,Thanh Tran,10,7,6,9
59,23127301,Quy Tran,10,7,6,9
60,23127302,Hoa Nguyen,10,7,6,9
61,23127303,Minh Le,10,7,6,9
62,23127304,Anh Pham,10,7,6,9
63,23127305,Tuan Tran,10,7,6,9
64,23127306,Huyen Vo,10,7,6,9
65,23127307,Nam Nguyen,10,7,6,9
66,23127308,Linh Do,10,7,6,9
67,23127309,Hai Truong,10,7,6,9
68,23127310,Mai Nguyen,10,7,6,9
69,23127311,Duc Phan,10,7,6,9
70,23127312,Thu Tran,10,7,6,9
71,23127313,Quang Nguyen,10,7,6,9
72,23127314,My Le,10,7,6,9
73,23127315,Khanh Vo,10,7,6,9
74,23127316,Hoa Nguyen,10,7,6,9
75,23127317,Dat Tran,10,7,6,9
76,23127318,Trang Do,10,7,6,9
77,23127319,Binh Nguyen,10,7,6,9
78,23127320,An Le,10,7,6,9
79,23127321,Dung Pham,10,7,6,9
80,23127322,Thanh Tran,10,7,6,9
81,23127323,Nhat Nguyen,10,7,6,9
82,23127324,Lan Vo,10,7,6,9
83,23127325,Long Do,10,7,6,9
