No,ID,Full name, Total Mark, Final Mark, Midterm Mark, Other Mark
1,23127001,Khoa Dang,5,5,6,8
2,23127002,Hoa Nguyen,5,5,6,8
3,23127003,Tuan Tran,5,5,6,8
4,23127004,Anh Le,5,5,6,8
5,23127005,Binh Pham,5,5,6,8
6,23127006,Thao Nguyen,5,5,6,8
7,23127007,Trang Tran,5,5,6,8
8,23127008,Tung Le,5,5,6,8
9,23127009,Thanh Pham,5,5,6,8
10,23127010,Thuy Nguyen,5,5,6,8
11,23127011,Thao Tran,5,5,6,8
12,23127012,Thanh Le,5,5,6,8
13,23127013,Thuy Pham,5,5,6,8
14,23127014,Thanh Nguyen,5,5,6,8
15,23127015,Thao Tran,5,5,6,8
16,23127016,Thanh Le,5,5,6,8
17,23127017,Thuy Pham,5,5,6,8
18,23127018,Thanh Nguyen,5,5,6,8
19,23127019,Thao Tran,5,5,6,8
20,23127020,Thanh Le,5,5,6,8
21,23127021,Thuy Pham,5,5,6,8
22,23127022,Thanh Nguyen,5,5,6,8
23,23127023,Thao Tran,5,5,6,8
24,23127024,Thanh Le,5,5,6,8
25,23127025,Thuy Pham,5,5,6,8
26,23127026,Thanh Nguyen,5,5,6,8
27,23127027,Thao Tran,5,5,6,8
28,23127028,Thanh Le,5,5,6,8
29,23127029,Thuy Pham,5,5,6,8
30,23127030,Thanh Nguyen,5,5,6,8
31,23127031,Thao Tran,5,5,6,8
32,23127032,Thanh Le,5,5,6,8
33,23127033,Thuy Pham,5,5,6,8
34,23127034,Thanh Nguyen,5,5,6,8
35,23127035,Thao Tran,5,5,6,8
36,23127036,Thanh Le,5,5,6,8
37,23127037,Thuy Pham,5,5,6,8
38,23127038,Thanh Nguyen,5,5,6,8
39,23127039,Thao Tran,5,5,6,8
40,23127040,Thanh Le,5,5,6,8
41,23127100,Thu Nguyen,5,5,6,8
42,23127101,Thao Nguyen,5,5,6,8
43,23127102,Thanh Tran,5,5,6,8
44,23127103,Thien Le,5,5,6,8
45,23127104,Thuan Nguyen,5,5,6,8
46,23127105,Thuy Tran,5,5,6,8
47,23127106,Tien Le,5,5,6,8
48,23127107,Tuan Nguyen,5,5,6,8
49,23127108,Tuong Tran,5,5,6,8
50,23127109,Uyen Le,5,5,6,8
51,23127110,Van Nguyen,5,5,6,8
52,23127111,Vinh Tran,5,5,6,8
53,23127112,Xuan Le,5,5,6,8
54,23127113,Yen Nguyen,5,5,6,8
55,23127114,Yen Tran,5,5,6,8
56,23127115,Yen Le,5,5,6,8
57,23127116,Yen Nguyen,5,5,6,8
58,23127117,Yen Tran,5,5,6,8
59,23127118,Yen Le,5,5,6,8
60,23127119,Yen Nguyen,5,5,6,8
61,23127120,Yen Tran,5,5,6,8
62,23127121,Yen Le,5,5,6,8
63,23127122,Yen Nguyen,5,5,6,8
64,23127123,Yen Tran,5,5,6,8
65,23127124,Yen Le,5,5,6,8
66,23127125,Yen Nguyen,5,5,6,8
67,23127201,Anh Nguyen,5,5,6,8
68,23127202,Bao Tran,5,5,6,8
69,23127203,Chi Pham,5,5,6,8
70,23127204,Dung Le,5,5,6,8
71,23127205,Em Vo,5,5,6,8
72,23127206,Ha Nguyen,5,5,6,8
73,23127207,Hieu Tran,5,5,6,8
74,23127208,Anh Phan,5,5,6,8
75,23127209,Long Do,5,5,6,8
76,23127210,Minh Nguyen,5,5,6,8
77,23127211,Ngoc Tran,5,5,6,8
78,23127212,Quynh Le,5,5,6,8
79,23127213,Son Pham,5,5,6,8
80,23127214,Thanh Nguyen,5,5,6,8
81,23127215,Tuan Vo,5,5,6,8
