No, Student ID, First name, Last name, Gender, Date of Birth, Social ID
1,23127001,Khoa,Dang,M,29/07/2005,123456
2,23127002,Hoa,Nguyen,F,30/08/2005,123457
3,23127003,Tuan,Tran,M,31/09/2005,123458
4,23127004,Anh,Le,M,1/10/2005,123459
5,23127005,Binh,Pham,M,2/11/2005,123460
6,23127006,Thao,Nguyen,F,3/12/2005,123461
7,23127007,Trang,Tran,F,4/1/2005,123462
8,23127008,Tung,Le,M,5/2/2005,123463
9,23127009,Thanh,Pham,M,6/3/2005,123464
10,23127010,Thuy,Nguyen,F,7/4/2005,123465
11,23127011,Thao,Tran,F,8/5/2005,123466
12,23127012,Thanh,Le,M,9/6/2005,123467
13,23127013,Thuy,Pham,F,10/7/2005,123468
14,23127014,Thanh,Nguyen,M,11/8/2005,123469
15,23127015,Thao,Tran,F,12/9/2005,123470
16,23127016,Thanh,Le,M,13/10/2005,123471
17,23127017,Thuy,Pham,F,14/11/2005,123472
18,23127018,Thanh,Nguyen,M,15/12/2005,123473
19,23127019,Thao,Tran,F,16/01/2005,123474
20,23127020,Thanh,Le,M,17/02/2005,123475
21,23127021,Thuy,Pham,F,18/03/2005,123476
22,23127022,Thanh,Nguyen,M,19/04/2005,123477
23,23127023,Thao,Tran,F,20/05/2005,123478
24,23127024,Thanh,Le,M,21/06/2005,123479
25,23127025,Thuy,Pham,F,22/07/2005,123480
26,23127026,Thanh,Nguyen,M,23/08/2005,123481
27,23127027,Thao,Tran,F,24/09/2005,123482
28,23127028,Thanh,Le,M,25/10/2005,123483
29,23127029,Thuy,Pham,F,26/11/2005,123484
30,23127030,Thanh,Nguyen,M,27/12/2005,123485
31,23127031,Thao,Tran,F,28/01/2005,123486
32,23127032,Thanh,Le,M,29/02/2005,123487
33,23127033,Thuy,Pham,F,30/03/2005,123488
34,23127034,Thanh,Nguyen,M,31/04/2005,123489
35,23127035,Thao,Tran,F,1/5/2005,123490
36,23127036,Thanh,Le,M,2/6/2005,123491
37,23127037,Thuy,Pham,F,3/7/2005,123492
38,23127038,Thanh,Nguyen,M,4/8/2005,123493
39,23127039,Thao,Tran,F,5/9/2005,123494
40,23127040,Thanh,Le,M,6/10/2005,123495
41,23127100,Thu,Nguyen,F,1/1/2005,987654
42,23127101,Thao,Nguyen,F,1/1/2005,987654
43,23127102,Thanh,Tran,M,1/1/2005,987654
44,23127103,Thien,Le,M,1/1/2005,987654
45,23127104,Thuan,Nguyen,M,1/1/2005,987654
46,23127105,Thuy,Tran,F,1/1/2005,987654
47,23127106,Tien,Le,F,1/1/2005,987654
48,23127107,Tuan,Nguyen,M,1/1/2005,987654
49,23127108,Tuong,Tran,M,1/1/2005,987654
50,23127109,Uyen,Le,F,1/1/2005,987654
51,23127110,Van,Nguyen,M,1/1/2005,987654
52,23127111,Vinh,Tran,M,1/1/2005,987654
53,23127112,Xuan,Le,F,1/1/2005,987654
54,23127113,Yen,Nguyen,F,1/1/2005,987654
55,23127114,Yen,Tran,F,1/1/2005,987654
56,23127115,Yen,Le,F,1/1/2005,987654
57,23127116,Yen,Nguyen,F,1/1/2005,987654
58,23127117,Yen,Tran,F,1/1/2005,987654
59,23127118,Yen,Le,F,1/1/2005,987654
60,23127119,Yen,Nguyen,F,1/1/2005,987654
61,23127120,Yen,Tran,F,1/1/2005,987654
62,23127121,Yen,Le,F,1/1/2005,987654
63,23127122,Yen,Nguyen,F,1/1/2005,987654
64,23127123,Yen,Tran,F,1/1/2005,987654
65,23127124,Yen,Le,F,1/1/2005,987654
66,23127125,Yen,Nguyen,F,1/1/2005,987654
67,23127201,Anh,Nguyen,M,12/10/1997,135790246
68,23127202,Bao,Tran,M,5/5/1990,246801357
69,23127203,Chi,Pham,F,18/08/1989,987654321
70,23127204,Dung,Le,F,24/03/1996,654321987
71,23127205,Em,Vo,M,30/11/1993,789012345
72,23127206,Ha,Nguyen,F,7/2/1998,321987654
73,23127207,Hieu,Tran,M,15/09/1991,678901234
74,23127208,Anh,Phan,F,28/07/1994,890123456
75,23127209,Long,Do,M,3/4/1987,456789012
76,23127210,Minh,Nguyen,M,20/06/2000,901234567
77,23127211,Ngoc,Tran,F,11/12/1992,567890123
78,23127212,Quynh,Le,F,22/10/1995,234567890
79,23127213,Son,Pham,M,19/05/1999,678901234
80,23127214,Thanh,Nguyen,F,8/9/1986,345678901
81,23127215,Tuan,Vo,M,16/03/1994,890123456
82,23127216,Van Anh,Tran,F,23/08/1997,456789012
83,23127217,Xuan,Nguyen,M,1/1/1990,901234567
84,23127218,Yen,Le,F,29/04/1991,567890123
85,23127219,Duc,Tran,M,14/07/1998,234567890
86,23127220,Hong,Pham,F,25/02/1993,789012345
87,23127221,Quang,Nguyen,M,6/11/1996,123456789
88,23127222,Huong,Vo,F,9/5/1988,678901234
89,23127223,Nam,Le,M,17/10/1995,345678901
90,23127224,Son,Nguyen,M,2/4/1992,12345678
91,23127225,Thanh,Tran,F,30/06/1999,901234567
92,23127226,Trung,Pham,M,27/08/1994,456789012
93,23127227,Anh,Nguyen,F,4/3/1991,789012345
94,23127228,Binh,Tran,M,12/9/1985,234567890
95,23127229,Chau,Le,F,10/12/1998,890123456
96,23127230,Dat,Nguyen,M,22/07/1997,456789012
97,23127231,Giang,Tran,F,28/04/1992,12345678
98,23127232,Hai,Pham,M,19/01/1990,678901234
99,23127233,Hien,Nguyen,F,11/5/1995,123456789
100,23127234,Hoai,Le,F,7/8/1996,890123456
101,23127235,Hung,Tran,M,13/02/1993,456789012
102,23127236,Khanh,Nguyen,F,20/10/1989,12345678
103,23127237,Linh,Tran,F,16/06/1994,678901234
104,23127238,Minh,Le,M,24/03/1991,234567890
105,23127239,Nga,Nguyen,F,3/9/1998,789012345
106,23127240,Phong,Tran,M,8/11/1992,345678901
107,23127241,Phuong,Nguyen,F,25/04/1997,901234567
108,23127242,Quan,Le,M,9/12/1990,567890123
109,23127243,Son,Tran,M,7/7/1988,12345678
110,23127244,Thanh,Nguyen,F,14/05/1993,678901234
111,23127245,Thu,Le,F,18/09/1996,345678901
112,23127246,Trung,Nguyen,M,26/01/1999,901234567
113,23127247,Tuan Anh,Tran,M,5/8/1994,456789012
114,23127248,Tuyen,Nguyen,F,23/03/1991,12345678
115,23127249,Van,Tran,F,10/10/1998,678901234
116,23127250,Xuan,Nguyen,F,28/06/1995,345678901
117,23127301,Quy,Tran,M,23/12/1999,123456789
118,23127302,Hoa,Nguyen,F,15/07/1995,987654321
119,23127303,Minh,Le,M,10/4/1990,654321987
120,23127304,Anh,Pham,F,5/9/1988,321987654
121,23127305,Tuan,Tran,M,30/11/2001,789012345
122,23127306,Huyen,Vo,F,20/03/1993,234567890
123,23127307,Nam,Nguyen,M,17/06/1985,678901234
124,23127308,Linh,Do,F,25/08/2000,345678901
125,23127309,Hai,Truong,M,3/1/1997,890123456
126,23127310,Mai,Nguyen,F,12/5/1992,456789012
127,23127311,Duc,Phan,M,28/02/1987,901234567
128,23127312,Thu,Tran,F,8/10/1998,567890123
129,23127313,Quang,Nguyen,M,19/09/1996,12345678
130,23127314,My,Le,F,14/07/1994,890123456
131,23127315,Khanh,Vo,M,22/12/1986,345678901
132,23127316,Hoa,Nguyen,F,1/3/2002,678901234
133,23127317,Dat,Tran,M,9/8/1991,123456789
134,23127318,Trang,Do,F,7/6/1999,456789012
135,23127319,Binh,Nguyen,M,4/5/1984,234567890
136,23127320,An,Le,F,11/2/1996,789012345
137,23127321,Dung,Pham,M,16/10/2003,345678901
138,23127322,Thanh,Tran,F,29/04/1990,901234567
139,23127323,Nhat,Nguyen,M,27/01/1994,456789012
140,23127324,Lan,Vo,F,6/8/1989,12345678
141,23127325,Long,Do,M,2/5/1997,678901234
142,23127326,Hien,Le,F,18/03/2000,234567890
143,23127327,Phuong,Tran,M,21/11/1983,789012345
144,23127328,Hoang,Nguyen,F,13/09/1992,345678901
145,23127329,Hieu,Pham,M,26/06/1995,901234567
146,23127330,Hoa,Nguyen,F,23/04/1998,456789012
147,23127331,Duc,Le,M,5/1/1987,12345678
148,23127332,Thuy,Tran,F,31/07/1993,678901234
149,23127333,Minh,Do,M,10/12/2001,345678901
150,23127334,Tram,Pham,F,9/9/1990,901234567
151,23127335,Kien,Nguyen,M,4/6/1988,456789012
152,23127336,Hong,Nguyen,F,19/05/1996,123456789
153,23127337,Anh,Le,M,27/08/1994,678901234
154,23127338,Linh,Vo,F,3/11/1985,234567890
155,23127339,Tu,Tran,M,8/2/1992,789012345
156,23127340,Phuc,Nguyen,F,14/10/1999,345678901
157,23127341,Hien,Pham,M,20/05/1986,901234567
158,23127342,Thanh,Le,F,15/09/1997,456789012
159,23127343,Duong,Tran,M,26/04/1991,12345678
160,23127344,Hoa,Nguyen,F,30/01/1994,678901234
161,23127345,Bao,Do,M,7/7/2000,345678901
162,23127346,Lan,Nguyen,F,11/3/1989,901234567
163,23127347,Minh,Nguyen,M,18/06/1993,456789012
164,23127348,Anh,Tran,F,25/09/1998,12345678
165,23127349,Tien,Le,M,12/12/1987,678901234
166,23127350,Phuong,Pham,F,28/05/1995,345678901
