No, Student ID, First name, Last name, Gender, Date of Birth, Social ID
1,23127001,Khoa,Dang,M,29/07/2005,123456
2,23127002,Hoa,Nguyen,F,30/08/2005,123457
3,23127003,Tuan,Tran,M,31/09/2005,123458
4,23127004,Anh,Le,M,1/10/2005,123459
5,23127005,Binh,Pham,M,2/11/2005,123460
6,23127006,Thao,Nguyen,F,3/12/2005,123461
7,23127007,Trang,Tran,F,4/1/2005,123462
8,23127008,Tung,Le,M,5/2/2005,123463
9,23127009,Thanh,Pham,M,6/3/2005,123464
10,23127010,Thuy,Nguyen,F,7/4/2005,123465
11,23127011,Thao,Tran,F,8/5/2005,123466
12,23127012,Thanh,Le,M,9/6/2005,123467
13,23127013,Thuy,Pham,F,10/7/2005,123468
14,23127014,Thanh,Nguyen,M,11/8/2005,123469
15,23127015,Thao,Tran,F,12/9/2005,123470
16,23127016,Thanh,Le,M,13/10/2005,123471
17,23127017,Thuy,Pham,F,14/11/2005,123472
18,23127018,Thanh,Nguyen,M,15/12/2005,123473
19,23127019,Thao,Tran,F,16/01/2005,123474
20,23127020,Thanh,Le,M,17/02/2005,123475
21,23127100,Thu,Nguyen,F,1/1/2005,987654
22,23127101,Thao,Nguyen,F,1/1/2005,987654
23,23127102,Thanh,Tran,M,1/1/2005,987654
24,23127103,Thien,Le,M,1/1/2005,987654
25,23127104,Thuan,Nguyen,M,1/1/2005,987654
26,23127105,Thuy,Tran,F,1/1/2005,987654
27,23127106,Tien,Le,F,1/1/2005,987654
28,23127107,Tuan,Nguyen,M,1/1/2005,987654
29,23127108,Tuong,Tran,M,1/1/2005,987654
30,23127109,Uyen,Le,F,1/1/2005,987654
31,23127110,Van,Nguyen,M,1/1/2005,987654
32,23127111,Vinh,Tran,M,1/1/2005,987654
33,23127112,Xuan,Le,F,1/1/2005,987654
34,23127201,Anh,Nguyen,M,12/10/1997,135790246
35,23127202,Bao,Tran,M,5/5/1990,246801357
36,23127203,Chi,Pham,F,18/08/1989,987654321
37,23127204,Dung,Le,F,24/03/1996,654321987
38,23127205,Em,Vo,M,30/11/1993,789012345
39,23127206,Ha,Nguyen,F,7/2/1998,321987654
40,23127207,Hieu,Tran,M,15/09/1991,678901234
41,23127208,Anh,Phan,F,28/07/1994,890123456
42,23127209,Long,Do,M,3/4/1987,456789012
43,23127210,Minh,Nguyen,M,20/06/2000,901234567
44,23127211,Ngoc,Tran,F,11/12/1992,567890123
45,23127212,Quynh,Le,F,22/10/1995,234567890
46,23127213,Son,Pham,M,19/05/1999,678901234
47,23127214,Thanh,Nguyen,F,8/9/1986,345678901
48,23127215,Tuan,Vo,M,16/03/1994,890123456
49,23127216,Van Anh,Tran,F,23/08/1997,456789012
50,23127217,Xuan,Nguyen,M,1/1/1990,901234567
51,23127218,Yen,Le,F,29/04/1991,567890123
52,23127219,Duc,Tran,M,14/07/1998,234567890
53,23127220,Hong,Pham,F,25/02/1993,789012345
54,23127221,Quang,Nguyen,M,6/11/1996,123456789
55,23127222,Huong,Vo,F,9/5/1988,678901234
56,23127223,Nam,Le,M,17/10/1995,345678901
57,23127224,Son,Nguyen,M,2/4/1992,12345678
58,23127225,Thanh,Tran,F,30/06/1999,901234567
59,23127301,Quy,Tran,M,23/12/1999,123456789
60,23127302,Hoa,Nguyen,F,15/07/1995,987654321
61,23127303,Minh,Le,M,10/4/1990,654321987
62,23127304,Anh,Pham,F,5/9/1988,321987654
63,23127305,Tuan,Tran,M,30/11/2001,789012345
64,23127306,Huyen,Vo,F,20/03/1993,234567890
65,23127307,Nam,Nguyen,M,17/06/1985,678901234
66,23127308,Linh,Do,F,25/08/2000,345678901
67,23127309,Hai,Truong,M,3/1/1997,890123456
68,23127310,Mai,Nguyen,F,12/5/1992,456789012
69,23127311,Duc,Phan,M,28/02/1987,901234567
70,23127312,Thu,Tran,F,8/10/1998,567890123
71,23127313,Quang,Nguyen,M,19/09/1996,12345678
72,23127314,My,Le,F,14/07/1994,890123456
73,23127315,Khanh,Vo,M,22/12/1986,345678901
74,23127316,Hoa,Nguyen,F,1/3/2002,678901234
75,23127317,Dat,Tran,M,9/8/1991,123456789
76,23127318,Trang,Do,F,7/6/1999,456789012
77,23127319,Binh,Nguyen,M,4/5/1984,234567890
78,23127320,An,Le,F,11/2/1996,789012345
79,23127321,Dung,Pham,M,16/10/2003,345678901
80,23127322,Thanh,Tran,F,29/04/1990,901234567
81,23127323,Nhat,Nguyen,M,27/01/1994,456789012
82,23127324,Lan,Vo,F,6/8/1989,12345678
83,23127325,Long,Do,M,2/5/1997,678901234
