No, Student ID, First name, Last name, Gender, Date of Birth, Social ID
1,24127001,Anh,Tran,M,23/12/1995,123456789
2,24127002,Binh,Nguyen,F,15/07/1990,987654321
3,24127003,Chi,Le,M,10/4/1988,654321987
4,24127004,Dao,Pham,F,5/9/2000,321987654
5,24127005,Dung,Tran,F,30/11/1992,789012345
6,24127006,Duong,Vo,M,20/03/1987,234567890
7,24127007,Hang,Nguyen,F,17/06/1996,678901234
8,24127008,Hieu,Do,M,25/08/1999,345678901
9,24127009,Anh,Truong,F,3/1/1991,890123456
10,24127010,Long,Nguyen,M,12/5/1994,456789012
11,24127011,Linh,Phan,F,28/02/1985,901234567
12,24127012,Nam,Tran,M,8/10/1998,567890123
13,24127013,Oanh,Nguyen,F,19/09/1997,12345678
14,24127014,Phong,Le,M,14/07/1989,890123456
15,24127015,Anh,Tran,F,22/12/1993,345678901
16,24127016,Tuan,Do,M,1/3/1990,678901234
17,24127017,Tam,Pham,F,9/8/2001,123456789
18,24127018,Thanh,Le,M,7/6/1994,456789012
19,24127019,Uyen,Nguyen,F,4/5/1983,234567890
20,24127020,Van Anh,Vo,F,11/2/1996,789012345
21,24127021,Xuan,Tran,M,16/10/1988,345678901
22,24127022,Yen Nhi,Nguyen,F,29/04/1997,901234567
23,24127023,Duc,Le,M,27/01/1992,456789012
24,24127024,Hoa,Tran,F,6/8/1986,12345678
25,24127025,Khanh,Nguyen,M,2/5/1995,678901234
26,24127051,Anh,Nguyen,M,12/10/1997,135790246
27,24127052,Bao,Tran,M,5/5/1990,246801357
28,24127053,Chi,Pham,F,18/08/1989,987654321
29,24127054,Dung,Le,F,24/03/1996,654321987
30,24127055,Em,Vo,M,30/11/1993,789012345
31,24127056,Ha,Nguyen,F,7/2/1998,321987654
32,24127057,Hieu,Tran,M,15/09/1991,678901234
33,24127058,Anh,Phan,F,28/07/1994,890123456
34,24127059,Long,Do,M,3/4/1987,456789012
35,24127060,Minh,Nguyen,M,20/06/2000,901234567
36,24127061,Ngoc,Tran,F,11/12/1992,567890123
37,24127062,Quynh,Le,F,22/10/1995,234567890
38,24127063,Son,Pham,M,19/05/1999,678901234
39,24127064,Thanh,Nguyen,F,8/9/1986,345678901
40,24127065,Tuan,Vo,M,16/03/1994,890123456
41,24127066,Van Anh,Tran,F,23/08/1997,456789012
42,24127067,Xuan,Nguyen,M,1/1/1990,901234567
43,24127068,Yen,Le,F,29/04/1991,567890123
44,24127069,Duc,Tran,M,14/07/1998,234567890
45,24127070,Hong,Pham,F,25/02/1993,789012345
46,24127071,Quang,Nguyen,M,6/11/1996,123456789
47,24127072,Huong,Vo,F,9/5/1988,678901234
48,24127073,Nam,Le,M,17/10/1995,345678901
49,24127074,Son,Nguyen,M,2/4/1992,12345678
50,24127075,Thanh,Tran,F,30/06/1999,901234567
51,24127201,Anh,Nguyen,M,12/10/1997,135790246
52,24127202,Bao,Tran,M,5/5/1990,246801357
53,24127203,Chi,Pham,F,18/08/1989,987654321
54,24127204,Dung,Le,F,24/03/1996,654321987
55,24127205,Em,Vo,M,30/11/1993,789012345
56,24127206,Ha,Nguyen,F,7/2/1998,321987654
57,24127207,Hieu,Tran,M,15/09/1991,678901234
58,24127208,Anh,Phan,F,28/07/1994,890123456
59,24127209,Long,Do,M,3/4/1987,456789012
60,24127210,Minh,Nguyen,M,20/06/2000,901234567
61,24127211,Ngoc,Tran,F,11/12/1992,567890123
62,24127212,Quynh,Le,F,22/10/1995,234567890
63,24127213,Son,Pham,M,19/05/1999,678901234
64,24127214,Thanh,Nguyen,F,8/9/1986,345678901
65,24127215,Tuan,Vo,M,16/03/1994,890123456
66,24127216,Van Anh,Tran,F,23/08/1997,456789012
67,24127217,Xuan,Nguyen,M,1/1/1990,901234567
68,24127218,Yen,Le,F,29/04/1991,567890123
69,24127219,Duc,Tran,M,14/07/1998,234567890
70,24127220,Hong,Pham,F,25/02/1993,789012345
71,24127221,Quang,Nguyen,M,6/11/1996,123456789
72,24127222,Huong,Vo,F,9/5/1988,678901234
73,24127223,Nam,Le,M,17/10/1995,345678901
74,24127224,Son,Nguyen,M,2/4/1992,12345678
75,24127225,Thanh,Tran,F,30/06/1999,901234567
