No, Student ID, First name, Last name, Gender, Date of Birth, Social ID
1,24127001,Anh,Tran,M,23/12/1995,123456789
2,24127002,Binh,Nguyen,F,15/07/1990,987654321
3,24127003,Chi,Le,M,10/4/1988,654321987
4,24127004,Dao,Pham,F,5/9/2000,321987654
5,24127005,Dung,Tran,F,30/11/1992,789012345
6,24127006,Duong,Vo,M,20/03/1987,234567890
7,24127007,Hang,Nguyen,F,17/06/1996,678901234
8,24127008,Hieu,Do,M,25/08/1999,345678901
9,24127009,Anh,Truong,F,3/1/1991,890123456
10,24127010,Long,Nguyen,M,12/5/1994,456789012
11,24127011,Linh,Phan,F,28/02/1985,901234567
12,24127012,Nam,Tran,M,8/10/1998,567890123
13,24127013,Oanh,Nguyen,F,19/09/1997,12345678
14,24127014,Phong,Le,M,14/07/1989,890123456
15,24127015,Anh,Tran,F,22/12/1993,345678901
16,24127016,Tuan,Do,M,1/3/1990,678901234
17,24127017,Tam,Pham,F,9/8/2001,123456789
18,24127018,Thanh,Le,M,7/6/1994,456789012
19,24127019,Uyen,Nguyen,F,4/5/1983,234567890
20,24127020,Van Anh,Vo,F,11/2/1996,789012345
21,24127021,Xuan,Tran,M,16/10/1988,345678901
22,24127022,Yen Nhi,Nguyen,F,29/04/1997,901234567
23,24127023,Duc,Le,M,27/01/1992,456789012
24,24127024,Hoa,Tran,F,6/8/1986,12345678
25,24127025,Khanh,Nguyen,M,2/5/1995,678901234
26,24127026,Ly,Ho,F,18/03/2000,234567890
27,24127027,Minh,Tran,M,21/11/1993,789012345
28,24127028,Ngoc Anh,Nguyen,F,13/09/1984,345678901
29,24127029,Oanh,Do,F,26/06/1991,901234567
30,24127030,Phuc,Vu,M,23/04/1998,456789012
31,24127031,Quynh Nga,Nguyen,F,5/1/1987,12345678
32,24127032,Son,Tran,M,31/07/1993,678901234
33,24127033,Tam,Le,F,10/12/2000,345678901
34,24127034,Thang,Nguyen,M,9/9/1989,901234567
35,24127035,Uyen Trang,Pham,F,4/6/1998,456789012
36,24127036,Viet,Tran,M,19/05/1996,123456789
37,24127037,Xuan,Nguyen,F,27/08/1994,678901234
38,24127038,Yen,Vo,F,3/11/1985,234567890
39,24127039,Dai,Nguyen,M,8/2/1992,789012345
40,24127040,Thuy Trang,Tran,F,14/10/1999,345678901
41,24127041,Dieu Hong,Phan,F,20/05/1986,901234567
42,24127042,Thinh,Huynh,M,15/09/1997,456789012
43,24127043,Thanh Hang,Nguyen,F,26/04/1991,12345678
44,24127044,Van Thong,Tran,M,30/01/1994,678901234
45,24127045,Trang,Bui,F,7/7/1989,345678901
46,24127046,Tri,Phan,M,11/3/2000,901234567
47,24127047,Lan Anh,Ho,F,18/06/1995,456789012
48,24127048,Tuan Anh,Tran,M,25/09/1998,12345678
49,24127049,Ngoc Lan,Nguyen,F,12/12/1987,678901234
50,24127050,Khanh,Do,M,28/05/1993,345678901
1,24127051,Anh,Nguyen,M,12/10/1997,135790246
2,24127052,Bao,Tran,M,5/5/1990,246801357
3,24127053,Chi,Pham,F,18/08/1989,987654321
4,24127054,Dung,Le,F,24/03/1996,654321987
5,24127055,Em,Vo,M,30/11/1993,789012345
6,24127056,Ha,Nguyen,F,7/2/1998,321987654
7,24127057,Hieu,Tran,M,15/09/1991,678901234
8,24127058,Anh,Phan,F,28/07/1994,890123456
9,24127059,Long,Do,M,3/4/1987,456789012
10,24127060,Minh,Nguyen,M,20/06/2000,901234567
11,24127061,Ngoc,Tran,F,11/12/1992,567890123
12,24127062,Quynh,Le,F,22/10/1995,234567890
13,24127063,Son,Pham,M,19/05/1999,678901234
14,24127064,Thanh,Nguyen,F,8/9/1986,345678901
15,24127065,Tuan,Vo,M,16/03/1994,890123456
16,24127066,Van Anh,Tran,F,23/08/1997,456789012
17,24127067,Xuan,Nguyen,M,1/1/1990,901234567
18,24127068,Yen,Le,F,29/04/1991,567890123
19,24127069,Duc,Tran,M,14/07/1998,234567890
20,24127070,Hong,Pham,F,25/02/1993,789012345
21,24127071,Quang,Nguyen,M,6/11/1996,123456789
22,24127072,Huong,Vo,F,9/5/1988,678901234
23,24127073,Nam,Le,M,17/10/1995,345678901
24,24127074,Son,Nguyen,M,2/4/1992,12345678
25,24127075,Thanh,Tran,F,30/06/1999,901234567
26,24127076,Trung,Pham,M,27/08/1994,456789012
27,24127077,Anh,Nguyen,F,4/3/1991,789012345
28,24127078,Binh,Tran,M,12/9/1985,234567890
29,24127079,Chau,Le,F,10/12/1998,890123456
30,24127080,Dat,Nguyen,M,22/07/1997,456789012
31,24127081,Giang,Tran,F,28/04/1992,12345678
32,24127082,Hai,Pham,M,19/01/1990,678901234
33,24127083,Hien,Nguyen,F,11/5/1995,123456789
34,24127084,Hoai,Le,F,7/8/1996,890123456
35,24127085,Hung,Tran,M,13/02/1993,456789012
36,24127086,Khanh,Nguyen,F,20/10/1989,12345678
37,24127087,Linh,Tran,F,16/06/1994,678901234
38,24127088,Minh,Le,M,24/03/1991,234567890
39,24127089,Nga,Nguyen,F,3/9/1998,789012345
40,24127090,Phong,Tran,M,8/11/1992,345678901
41,24127091,Phuong,Nguyen,F,25/04/1997,901234567
42,24127092,Quan,Le,M,9/12/1990,567890123
43,24127093,Son,Tran,M,7/7/1988,12345678
44,24127094,Thanh,Nguyen,F,14/05/1993,678901234
45,24127095,Thu,Le,F,18/09/1996,345678901
46,24127096,Trung,Nguyen,M,26/01/1999,901234567
47,24127097,Tuan Anh,Tran,M,5/8/1994,456789012
48,24127098,Tuyen,Nguyen,F,23/03/1991,12345678
49,24127099,Van,Tran,F,10/10/1998,678901234
50,24127100,Xuan,Nguyen,F,28/06/1995,345678901
1,24127201,Anh,Nguyen,M,12/10/1997,135790246
2,24127202,Bao,Tran,M,5/5/1990,246801357
3,24127203,Chi,Pham,F,18/08/1989,987654321
4,24127204,Dung,Le,F,24/03/1996,654321987
5,24127205,Em,Vo,M,30/11/1993,789012345
6,24127206,Ha,Nguyen,F,7/2/1998,321987654
7,24127207,Hieu,Tran,M,15/09/1991,678901234
8,24127208,Anh,Phan,F,28/07/1994,890123456
9,24127209,Long,Do,M,3/4/1987,456789012
10,24127210,Minh,Nguyen,M,20/06/2000,901234567
11,24127211,Ngoc,Tran,F,11/12/1992,567890123
12,24127212,Quynh,Le,F,22/10/1995,234567890
13,24127213,Son,Pham,M,19/05/1999,678901234
14,24127214,Thanh,Nguyen,F,8/9/1986,345678901
15,24127215,Tuan,Vo,M,16/03/1994,890123456
16,24127216,Van Anh,Tran,F,23/08/1997,456789012
17,24127217,Xuan,Nguyen,M,1/1/1990,901234567
18,24127218,Yen,Le,F,29/04/1991,567890123
19,24127219,Duc,Tran,M,14/07/1998,234567890
20,24127220,Hong,Pham,F,25/02/1993,789012345
21,24127221,Quang,Nguyen,M,6/11/1996,123456789
22,24127222,Huong,Vo,F,9/5/1988,678901234
23,24127223,Nam,Le,M,17/10/1995,345678901
24,24127224,Son,Nguyen,M,2/4/1992,12345678
25,24127225,Thanh,Tran,F,30/06/1999,901234567
26,24127226,Trung,Pham,M,27/08/1994,456789012
27,24127227,Anh,Nguyen,F,4/3/1991,789012345
28,24127228,Binh,Tran,M,12/9/1985,234567890
29,24127229,Chau,Le,F,10/12/1998,890123456
30,24127230,Dat,Nguyen,M,22/07/1997,456789012
31,24127231,Giang,Tran,F,28/04/1992,12345678
32,24127232,Hai,Pham,M,19/01/1990,678901234
33,24127233,Hien,Nguyen,F,11/5/1995,123456789
34,24127234,Hoai,Le,F,7/8/1996,890123456
35,24127235,Hung,Tran,M,13/02/1993,456789012
36,24127236,Khanh,Nguyen,F,20/10/1989,12345678
37,24127237,Linh,Tran,F,16/06/1994,678901234
38,24127238,Minh,Le,M,24/03/1991,234567890
39,24127239,Nga,Nguyen,F,3/9/1998,789012345
40,24127240,Phong,Tran,M,8/11/1992,345678901
41,24127241,Phuong,Nguyen,F,25/04/1997,901234567
42,24127242,Quan,Le,M,9/12/1990,567890123
43,24127243,Son,Tran,M,7/7/1988,12345678
44,24127244,Thanh,Nguyen,F,14/05/1993,678901234
45,24127245,Thu,Le,F,18/09/1996,345678901
46,24127246,Trung,Nguyen,M,26/01/1999,901234567
47,24127247,Tuan Anh,Tran,M,5/8/1994,456789012
48,24127248,Tuyen,Nguyen,F,23/03/1991,12345678
49,24127249,Van,Tran,F,10/10/1998,678901234
50,24127250,Xuan,Nguyen,F,28/06/1995,345678901
